Entity, Value
Borrower Name, ABCExports
Borrower Address," 4300 Longbeach Blvd, Longbeach, California, 90807, United States"
Borrower Pincode, 90807
Borrower City, Longbeach
Borrower Country, United States
Seller Name, IndiaScrapTraders
Seller Address," Rustom Bldg.compound, G.k.marg, Delisle Road, Mumbai, Maharashtra, 400013, India"
Seller Pincode, 400013
Seller City, Mumbai
Seller Country, India
Vessel/Aircraft, N/A
Date of departure, N/A
Date of invoice, 19Nov2021
Date of issue, 19Nov2021
Description of Goods, N/A
