Entity, Value
Borrower Name, XYZImports
Borrower Address," 410 Queen Street, Brisbane, Queensland, 4814, Australia"
Borrower Pincode, 4814
Borrower City, Brisbane
Borrower Country, Australia
Seller Name, ABCExports
Seller Address," 4300 Longbeach Blvd, Longbeach, California, 90807, United States"
Seller Pincode, 90807
Seller City, Longbeach
Seller Country, United States
Date of departure, 04 Jul 2022
Date of invoice, 04 Jul 2022
Date of issue, 04 Jul 2022
Description of Goods," Furniture, Stainless Steel (Barstools and Tables)"
